step,exact_match_accuracy,grad_zH_step_1,grad_zH_step_2,grad_zH_step_3,grad_zH_step_4,grad_zL_step_1,grad_zL_step_2,grad_zL_step_3,grad_zL_step_4,gradient_norm,loss,token_accuracy,zH_norm_step_1,zH_norm_step_2,zH_norm_step_3,zH_norm_step_4,zL_norm_step_1,zL_norm_step_2,zL_norm_step_3,zL_norm_step_4
1,0.0,0.14124369621276855,0.09089118242263794,0.04540953412652016,,0.07370876520872116,0.05913635343313217,0.0499504879117012,0.04540926218032837,18.71866216585733,8.385885238647461,0.78125,26.003799438476562,77.52133178710938,157.57557678222656,271.2392578125,258.3655090332031,542.5159301757812,878.37109375,1294.330322265625
2,0.0,0.1388096660375595,0.08936797082424164,0.044662196189165115,,0.07239855080842972,0.05813274532556534,0.049128420650959015,0.04467838257551193,18.3248626628314,7.713164329528809,1.171875,25.967472076416016,77.40302276611328,157.33074951171875,270.81451416015625,257.9670104980469,541.6687622070312,876.9901123046875,1292.2874755859375
3,0.0,0.1360379457473755,0.08762022107839584,0.043801020830869675,,0.07092012465000153,0.05698489770293236,0.04818112775683403,0.04383217543363571,17.870058300223864,7.061466217041016,3.125,25.936569213867188,77.300048828125,157.11700439453125,270.44317626953125,257.617431640625,540.9264526367188,875.7804565429688,1290.4996337890625
4,0.0,0.13290376961231232,0.08563292771577835,0.042818646878004074,,0.06925981491804123,0.05568278953433037,0.04710053279995918,0.042863599956035614,17.343908760986064,6.432678699493408,5.859375,25.910297393798828,77.2107162475586,156.93075561523438,270.11944580078125,257.3120422363281,540.2776489257812,874.7242431640625,1288.938232421875
5,0.0,0.12938977777957916,0.0833960548043251,0.04171045869588852,,0.06740741431713104,0.054219573736190796,0.04588150233030319,0.04176832735538483,16.74490493830706,5.82861852645874,7.8125,25.8878231048584,77.13316345214844,156.76861572265625,269.83721923828125,257.0456237792969,539.7119140625,873.8034057617188,1287.5767822265625
6,0.0,,,,,,,,,16.077460261862587,5.2508955001831055,10.9375,,,,,,,,
7,0.0,,,,,,,,,15.36710292330845,4.700672149658203,16.796875,,,,,,,,
8,0.0,,,,,,,,,14.643310954134595,4.177947998046875,21.09375,,,,,,,,
9,0.0,,,,,,,,,13.903519773908101,3.682124137878418,26.953125,,,,,,,,
10,0.0,0.10756780207157135,0.06941055506467819,0.034754615277051926,,0.056001003831624985,0.045097723603248596,0.03823007643222809,0.03486422076821327,13.126234593854285,3.2133736610412598,31.25,25.815481185913086,76.88078308105469,156.2401885986328,268.9172058105469,256.1763916015625,537.8667602539062,870.8001098632812,1283.1380615234375
11,0.0,,,,,,,,,12.288759237352988,2.7732901573181152,36.328125,,,,,,,,
12,0.0,,,,,,,,,11.375646362640124,2.3648464679718018,42.1875,,,,,,,,
13,0.0,,,,,,,,,10.390149433753589,1.9916865825653076,52.34375,,,,,,,,
14,0.0,,,,,,,,,9.357754295022417,1.6570061445236206,60.546875,,,,,,,,
15,0.0,,,,,,,,,8.327717844450907,1.3625446557998657,66.015625,,,,,,,,
16,0.0,,,,,,,,,7.360938945393127,1.1077507734298706,71.875,,,,,,,,
17,0.0,,,,,,,,,6.493956358796279,0.8896093964576721,78.125,,,,,,,,
18,6.25,,,,,,,,,5.71028318950574,0.7038488984107971,80.078125,,,,,,,,
19,6.25,,,,,,,,,4.967123007098178,0.5467818379402161,82.03125,,,,,,,,
20,12.5,0.04569122940301895,0.02946709841489792,0.014769158326089382,,0.023854589089751244,0.01914159022271633,0.016246076673269272,0.014854513108730316,4.242788996266153,0.4159602224826813,85.546875,25.823862075805664,76.9061279296875,156.29226684570312,269.0067138671875,256.27313232421875,538.0641479492188,871.1077270507812,1283.5775146484375
21,12.5,,,,,,,,,3.5369899093905572,0.30948787927627563,90.625,,,,,,,,
22,31.25,,,,,,,,,2.85827562774019,0.22539721429347992,94.140625,,,,,,,,
23,62.5,,,,,,,,,2.2334221734841404,0.16140805184841156,96.875,,,,,,,,
24,62.5,,,,,,,,,1.7061174902779592,0.11461346596479416,97.265625,,,,,,,,
25,68.75,,,,,,,,,1.301392616089906,0.08139552175998688,97.65625,,,,,,,,
26,75.0,,,,,,,,,0.9996973482558726,0.05807679891586304,98.4375,,,,,,,,
27,93.75,,,,,,,,,0.7679957269305776,0.041713375598192215,99.609375,,,,,,,,
28,100.0,,,,,,,,,0.5870770815457584,0.030243679881095886,100.0,,,,,,,,
29,100.0,,,,,,,,,0.44753324726613447,0.022231897339224815,100.0,,,,,,,,
30,100.0,0.005719621665775776,0.003668056335300207,0.0018338595982640982,,0.003010398242622614,0.0023879532236605883,0.002017245627939701,0.0018410916673019528,0.3423105626511752,0.016644351184368134,100.0,25.938739776611328,77.27593994140625,157.05194091796875,270.3143310546875,257.5550231933594,540.7329711914062,875.38330078125,1289.8275146484375
31,100.0,,,,,,,,,0.2646319091892206,0.012733690440654755,100.0,,,,,,,,
32,100.0,,,,,,,,,0.20806346899128444,0.009970738552510738,100.0,,,,,,,,
